precinctCode,precinct,election,percentVoting
184,FOLLY BEACH 1,vhgen14,38.31
185,FOLLY BEACH 2,vhgen14,42.51
201,CHARLESTON 1,vhgen14,52.85
202,CHARLESTON 2,vhgen14,48.8
203,CHARLESTON 3,vhgen14,46.49
204,CHARLESTON 4,vhgen14,31.1
205,CHARLESTON 5,vhgen14,35.27
206,CHARLESTON 6,vhgen14,29.15
207,CHARLESTON 7,vhgen14,19.04
208,CHARLESTON 8,vhgen14,32.78
209,CHARLESTON 9,vhgen14,26.93
210,CHARLESTON 10,vhgen14,11.86
211,CHARLESTON 11,vhgen14,19.91
212,CHARLESTON 12,vhgen14,32.57
213,CHARLESTON 13,vhgen14,33.1
214,CHARLESTON 14,vhgen14,14.65
215,CHARLESTON 15,vhgen14,21.15
216,CHARLESTON 16,vhgen14,31.89
217,CHARLESTON 17,vhgen14,36.95
218,CHARLESTON 18,vhgen14,33.72
219,CHARLESTON 19,vhgen14,45.87
220,CHARLESTON 20,vhgen14,40.03
221,CHARLESTON 21,vhgen14,42.96
301,MT PLEASANT 1,vhgen14,48.1
302,MT PLEASANT 2,vhgen14,33.77
303,MT PLEASANT 3,vhgen14,43.36
304,MT PLEASANT 4,vhgen14,42.75
305,MT PLEASANT 5,vhgen14,45
306,MT PLEASANT 6,vhgen14,34.75
307,MT PLEASANT 7,vhgen14,35.74
308,MT PLEASANT 8,vhgen14,41.73
309,MT PLEASANT 9,vhgen14,39.36
310,MT PLEASANT 10,vhgen14,51.03
311,MT PLEASANT 11,vhgen14,40.4
312,MT PLEASANT 12,vhgen14,37.43
313,MT PLEASANT 13,vhgen14,33.13
314,MT PLEASANT 14,vhgen14,30.63
315,MT PLEASANT 15,vhgen14,49.91
316,MT PLEASANT 16,vhgen14,61.22
317,MT PLEASANT 17,vhgen14,38.32
318,MT PLEASANT 18,vhgen14,52.29
319,MT PLEASANT 19,vhgen14,32.3
320,MT PLEASANT 20,vhgen14,46.61
321,MT PLEASANT 21,vhgen14,47.81
322,MT PLEASANT 22,vhgen14,40.14
323,MT PLEASANT 23,vhgen14,35.49
324,MT PLEASANT 24,vhgen14,41.49
325,MT PLEASANT 25,vhgen14,51.55
326,MT PLEASANT 26,vhgen14,51.75
327,MT PLEASANT 27,vhgen14,42.57
328,MT PLEASANT 28,vhgen14,44.25
329,MT PLEASANT 29,vhgen14,52.05
330,MT PLEASANT 30,vhgen14,47.59
331,MT PLEASANT 31,vhgen14,39.72
332,MT PLEASANT 32,vhgen14,39.45
333,MT PLEASANT 33,vhgen14,42.93
334,MT PLEASANT 34,vhgen14,38.87
335,MT PLEASANT 35,vhgen14,36.62
336,MT PLEASANT 36,vhgen14,35.06
337,MT PLEASANT 37,vhgen14,42.14
338,MT PLEASANT 38,vhgen14,43.13
339,MT PLEASANT 39,vhgen14,50.04
400,JAMES ISLAND 1A,vhgen14,38.64
401,JAMES ISLAND 1B,vhgen14,49.52
402,JAMES ISLAND 3,vhgen14,54.91
403,JAMES ISLAND 5A,vhgen14,48.05
404,JAMES ISLAND 5B,vhgen14,43.68
405,JAMES ISLAND 6,vhgen14,44.18
406,JAMES ISLAND 7,vhgen14,36.23
407,JAMES ISLAND 8A,vhgen14,45.11
408,JAMES ISLAND 8B,vhgen14,26.25
409,JAMES ISLAND 9,vhgen14,39.32
410,JAMES ISLAND 10,vhgen14,34.99
411,JAMES ISLAND 11,vhgen14,38.15
412,JAMES ISLAND 12,vhgen14,48.57
413,JAMES ISLAND 13,vhgen14,44.35
414,JAMES ISLAND 14,vhgen14,44.48
415,JAMES ISLAND 15,vhgen14,30.76
417,JAMES ISLAND 17,vhgen14,28.04
419,JAMES ISLAND 19,vhgen14,36.77
420,JAMES ISLAND 20,vhgen14,33.59
422,JAMES ISLAND 22,vhgen14,38.65
440,JOHNS ISLAND 1A,vhgen14,45.8
441,JOHNS ISLAND 1B,vhgen14,44.98
443,JOHNS ISLAND 3A,vhgen14,43.11
444,JOHNS ISLAND 3B,vhgen14,50.51
445,JOHNS ISLAND 4,vhgen14,48.62
460,ST PAULS 1,vhgen14,50.18
461,ST PAULS 2A,vhgen14,41.05
462,ST PAULS 2B,vhgen14,47.98
463,ST PAULS 3,vhgen14,52.43
